,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
708,Michigan St,17,TCU,16,0
709,Texas,31,Oregon St,27,0
710,Clemson,25,LSU,24,0
711,Georgia Tech,21,USC,7,0
712,Tulsa,31,Iowa St,17,0
713,Vanderbilt,38,NC State,24,1
714,Florida St,31,N Illinois,10,0
715,Georgia,45,Nebraska,31,0
716,Northwestern,34,Mississippi St,20,0
717,Oklahoma St,58,Purdue,14,0
718,South Carolina,33,Michigan,28,0
719,Stanford,20,Wisconsin,14,0
720,Louisville,33,Florida,23,0
721,Oregon,35,Kansas St,17,0
722,Texas A&M,41,Oklahoma,13,0
723,Mississippi,38,Pittsburgh,17,0
724,Arkansas St,17,Kent,13,0
725,Alabama,42,Notre Dame,14,0
